Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2014 Toyota Tacoma,$ 3 800 USD,1,5TFUU4EN6EX084292,108 458 mi(подтвержден),14.05.2024 18:00 UTC,4.0l 6,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""HELENA, CALIFORNIA"",$ 0 USD,$ 20 500 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Опрокидывание/Перевертышь,,
2008 Honda Accord Ex,$ 1 250 USD,2,1HGCP26768A026960,117 186 mi,14.05.2024 17:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 4 853 USD,$ 8 550 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,
2004 Buick Rendezvous Cx,$ 300 USD,1,3G5DA03E54S588005,181 275 mi,14.05.2024 17:00 UTC,3.4l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 3 694 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2018 Nissan Sentra S,$ 450 USD,1,3N1AB7AP1JL651468,,14.05.2024 19:00 UTC,1.8l 4,Красный,Автоматическая,Бензин,передний привод,,,""PHOENIX, ARIZONA"",$ 35 663 USD,$ 12 000 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повсюду,,
2021 Kia K5 Lx,$ 5 700 USD,1,5XXG24J25MG006848,42 174 mi(подтвержден),14.05.2024 19:00 UTC,1.6l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 16 319 USD,$ 21 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,
2013 Ford Edge Limited,$ 1 200 USD,1,2FMDK3KC8DBB10637,217 148 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 6 601 USD,$ 8 525 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2023 Hyundai Palisade Xrt,$ 16 300 USD,1,KM8R3DGE0PU577259,8 203 mi(подтвержден),14.05.2024 17:00 UTC,3.8l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 28 213 USD,$ 39 925 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2002 Acura 3.2tl,$ 325 USD,1,19UUA56722A030650,272 952 mi(подтвержден),14.05.2024 17:00 UTC,3.2l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 2 706 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Вандализм,Вандализм,Незначительная вмятина/царапины,
2014 Ford F150 Supercrew,$ 2 350 USD,1,1FTFW1CF2EKD37439,246 874 mi(подтвержден),14.05.2024 17:00 UTC,5.0l 8,Красный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 20 711 USD,$ 16 300 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2010 Jeep Grand Cherokee Laredo,$ 1 250 USD,1,1J4PS4GK4AC121745,153 528 mi,14.05.2024 17:00 UTC,3.7l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 6 852 USD,$ 4 850 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,
