Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2021 Toyota Venza Le,$ 5 100 USD,2,JTEAAAAH8MJ047350,47 208 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Серебряный,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""HAM LAKE, MINNESOTA"",$ 30 466 USD,$ 28 825 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2014 Toyota Sienna Le,$ 2 050 USD,1,5TDKK3DC2ES475971,163 753 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 9 767 USD,$ 12 925 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение передней части,
2023 Kia Ev6 Gt,$ 15 900 USD,1,KNDC5DLEXP5092261,14 929 mi(подтвержден),14.05.2024 16:00 UTC,,Синий,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""DES MOINES, IOWA"",$ 10 798 USD,$ 49 675 USD,IA - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,
2017 Acura Mdx Advance,$ 4 000 USD,1,5FRYD4H80HB016039,159 592 mi(подтвержден),14.05.2024 18:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 10 072 USD,$ 22 425 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повсюду,,
2004 Honda Accord Ex,$ 225 USD,1,1HGCM66534A095047,,14.05.2024 17:00 UTC,3.0l 6,Серебряный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 5 502 USD,$ 0 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,,
2009 Kia Sportage Lx,$ 1 200 USD,1,KNDJE723097583082,139 510 mi,14.05.2024 17:00 UTC,2.7l 6,Черный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 3 506 USD,$ 4 775 USD,KS - CERT OF TITLE-SALVAGE,Неизвестно,Вандализм,Повреждение стороны,
2016 Mercedes-benz Cla 250,$ 3 200 USD,1,WDDSJ4EB3GN321542,116 866 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""Greenwell springs, LOUISIANA"",$ 6 167 USD,$ 14 125 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,4-дверный седан
2013 Tesla Model S,$ 3 300 USD,1,5YJSA1DP9DFP03400,,14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAHAM, WASHINGTON"",$ 22 553 USD,$ 17 100 USD,WA - BILL OF SALE,Столкновение,Повсюду,,
2011 Acura Mdx Technology,$ 2 900 USD,1,2HNYD2H6XBH510103,132 623 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 7 196 USD,$ 8 875 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2021 Subaru Forester Touring,$ 4 400 USD,1,JF2SKAXC5MH448848,51 661 mi,14.05.2024 18:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HELENA, MONTANA"",$ 0 USD,$ 30 725 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Столкновение,Повреждение стороны,Повреждение ходовой части,
2016 Cadillac Srx Luxury Collection,$ 6 300 USD,1,3GYFNBE36GS550391,48 670 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""Greenwell springs, TEXAS"",$ 0 USD,$ 14 175 USD,TX - CERTIFICATE OF TITLE (P),Дилерские услуги Copart,Нормальный износ,,4-дверный спорт
2012 Toyota Rav4 Limited,$ 4 450 USD,1,2T3DK4DV7CW085492,114 613 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Желто-коричневый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 12 306 USD,$ 11 650 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
1995 Chevrolet Gmt-400 C1500,$ 350 USD,1,1GCEC14Z5SZ107412,249 315 mi,14.05.2024 17:00 UTC,4.3l 6,Красный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 5 401 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2023 Mercedes-benz Glc Coupe 43 4matic Amg,$ 8 800 USD,1,W1N0J6EB4PG145689,,14.05.2024 14:00 UTC,3.0l 6,Черный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""WALDORF, MARYLAND"",$ 57 437 USD,$ 66 125 USD,MD - CERT OF SALVAGE > 75% DAMAGE,Столкновение,Повреждение передней части,,
2017 Toyota Camry Le,$ 3 450 USD,1,4T1BF1FKXHU714417,113 996 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 13 365 USD,$ 15 300 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,
2021 Tesla Model Y,$ 13 200 USD,1,5YJYGDEE2MF183435,52 869 mi(подтвержден),14.05.2024 16:00 UTC,,Красный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""MADISONVILLE, TENNESSEE"",$ 42 066 USD,$ 33 100 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2020 Porsche Taycan Turbo,$ 38 000 USD,1,WP0AC2Y15LSA70710,14 940 mi(подтвержден),14.05.2024 16:00 UTC,,Серый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,двигатель запускается,""VAN NUYS, CALIFORNIA"",$ 106 000 USD,$ 96 775 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2010 Toyota Venza,$ 1 550 USD,1,4T3ZA3BB5AU020780,182 926 mi,14.05.2024 17:00 UTC,2.7l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""THEODORE, MISSISSIPPI"",$ 5 472 USD,$ 9 800 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повреждение задней части,,4-дверный спорт
2015 Toyota Camry Le,$ 3 150 USD,1,4T1BF1FK0FU969106,115 144 mi(подтвержден),14.05.2024 18:00 UTC,2.5l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 12 446 USD,$ 12 075 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2024 Ford Edge Titanium,$ 16 700 USD,1,2FMPK4K92RBA05686,1 964 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 31 881 USD,$ 0 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2007 Cadillac Dts,$ 400 USD,1,1G6KD57Y27U121222,180 555 mi,14.05.2024 17:00 UTC,4.6l 8,Черный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""HAM LAKE, MINNESOTA"",$ 3 156 USD,$ 3 350 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение задней части,,
2007 Honda Odyssey Touring,$ 1 000 USD,1,5FNRL38877B002110,169 175 mi,14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 4 183 USD,$ 5 925 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2006 Honda Accord Ex,$ 300 USD,2,1HGCM55876A085145,221 090 mi,14.05.2024 17:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""KANSAS CITY, MISSOURI"",$ 5 896 USD,$ 5 750 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,4-дверный седан
2002 Ford Expedition Eddie Bauer,$ 350 USD,1,1FMFU18L22LA78649,179 176 mi,14.05.2024 19:00 UTC,5.4l 8,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 5 488 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,4-дверный спорт
2013 Dodge Durango Sxt,$ 2 750 USD,1,1C4RDHAGXDC679379,132 264 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 8 573 USD,$ 8 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2015 Honda Cr-v Lx,$ 6 000 USD,1,5J6RM4H38FL065147,102 380 mi(подтвержден),14.05.2024 18:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 8 570 USD,$ 12 550 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение задней части,Град,
2016 Chrysler 300c,$ 3 500 USD,2,2C3CCAEG3GH212384,121 754 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Белый,,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, ARKANSAS"",$ 9 750 USD,$ 13 500 USD,AR - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части,
1996 Jeep Cherokee Sport,$ 1 300 USD,2,1J4FJ68S9TL271345,181 776 mi(подтвержден),14.05.2024 19:00 UTC,4.0l 6,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""SAN DIEGO, LOUISIANA"",$ 4 942 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2016 Nissan Altima 2.5,$ 1 800 USD,1,1N4AL3AP0GN354614,139 293 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Бордовый,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 10 999 USD,$ 8 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2017 Gmc Acadia Slt-1,$ 3 400 USD,1,1GKKNMLA9HZ263282,206 788 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 20 285 USD,$ 17 200 USD,TX - CERTIFICATE OF TITLE,Град,Град,,
2012 Chrysler 200 Touring,$ 700 USD,1,1C3CCBBG5CN303362,72 494 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Бордовый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 9 199 USD,$ 10 400 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2013 Nissan Frontier S,$ 3 000 USD,1,1N6AD0ER2DN721457,145 473 mi(подтвержден),14.05.2024 17:00 UTC,4.0l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 10 847 USD,$ 11 825 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2016 Jeep Compass Sport,$ 2 150 CAD,3,1C4NJCAA8GD563117,75 381 mi,14.05.2024 18:00 UTC,2.0l 4,Черный,Механическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ROCKY VIEW COUNTY, ALBERTA"",$ 14 910 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части,
2020 Gmc Yukon Xl Denali,$ 18 800 USD,1,1GKS2HKJXLR201853,98 792 mi(подтвержден),14.05.2024 17:00 UTC,6.2l 8,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 30 869 USD,$ 49 825 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,
2022 Mini Cooper Se,$ 14 500 USD,1,WMW13DJ00N2R94479,9 153 mi(подтвержден),14.05.2024 16:00 UTC,,Зеленый,Автоматическая,Электричество,передний привод,Ключи присутствуют,заводится и едет,""WOODHAVEN, MICHIGAN"",$ 11 519 USD,$ 23 025 USD,MI - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,
2010 Cadillac Cts,$ 2 300 USD,1,1G6DA5EG5A0133620,102 313 mi,14.05.2024 17:00 UTC,3.0l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 10 301 USD,$ 5 925 USD,KS - CERT OF TITLE-SALVAGE,Град,Град,,
2014 Acura Rdx Technology,$ 5 000 USD,1,5J8TB3H5XEL010776,109 326 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 11 918 USD,$ 12 275 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,
2010 Ford Fusion Sel,$ 275 CAD,1,3FAHP0CG2AR118968,326 202 mi,14.05.2024 18:00 UTC,3.0l 6,Черный,Автоматическая,Этанолосодержащий бензин,Полный привод,Ключи присутствуют,заводится и едет,""ROCKY VIEW COUNTY, ALBERTA"",$ 5 537 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,
2017 Toyota Corolla Im,$ 5 500 USD,1,JTNKARJE4HJ538092,62 856 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 9 182 USD,$ 14 425 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2010 Ford F150 Supercrew,$ 2 200 USD,1,1FTFW1EV4AKE09305,124 157 mi,14.05.2024 17:00 UTC,5.4l 8,Бордовый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 14 201 USD,$ 12 825 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2019 Ford F150 Raptor,$ 31 250 USD,1,1FTFW1RG5KFD16718,45 903 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Угольный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""Greenwell springs, LOUISIANA"",$ 17 067 USD,$ 50 275 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2017 Honda Civic Ex,$ 3 900 USD,1,2HGFC2F80HH569689,112 565 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 16 711 USD,$ 15 750 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2006 Honda Accord Ex,$ 300 USD,2,1HGCM55876A085145,221 090 mi,14.05.2024 17:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""KANSAS CITY, MISSOURI"",$ 5 896 USD,$ 5 750 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,4-дверный седан
2001 Gmc New Sierra C1500,$ 825 USD,1,2GTEC19V411131603,,14.05.2024 18:00 UTC,4.8l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""HELENA, MONTANA"",$ 12 000 USD,$ 3 625 USD,MT - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2009 Chevrolet Impala 1lt,$ 450 USD,1,2G1WT57K791116411,173 793 mi,14.05.2024 17:00 UTC,3.5l 6,Синий,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 0 USD,$ 5 425 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части,
2013 Tesla Model S,$ 4 350 USD,1,5YJSA1AG0DFP07579,60 024 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,,Электричество,задний привод,Ключи присутствуют,заводится и едет,""SUN VALLEY, CALIFORNIA"",$ 15 980 USD,$ 13 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2021 Tesla Model 3,$ 6 800 USD,1,5YJ3E1EA1MF089705,106 412 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 9 322 USD,$ 26 975 USD,LA - CERTIFICATE OF TITLE,Столкновение,Механическое повреждение,,
2011 Volkswagen Jetta Tdi,$ 650 USD,1,3VWLL7AJ9BM124804,195 973 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Дизель,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 6 326 USD,$ 7 000 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,Град,
2015 Infiniti Q50 Base,$ 4 150 USD,1,JN1BV7AP8FM332481,142 939 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 7 008 USD,$ 11 425 USD,TN - SALVAGE CERTIFICATE,Кража,Верх/крыша,Незначительная вмятина/царапины,
2016 Mercedes-benz Gle Coupe 450 4matic,$ 24 200 USD,1,4JGED6EB3GA030374,125 425 mi(подтвержден),14.05.2024 18:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 30 709 USD,$ 30 075 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение стороны,,
2015 Ford Focus S,$ 1 200 USD,1,1FADP3E29FL380851,88 976 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 5 470 USD,$ 6 750 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2021 Nissan Rogue Sport Sv,$ 4 500 USD,1,JN1BJ1BWXMW421582,22 559 mi,14.05.2024 18:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 22 019 USD,$ 23 300 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2005 Dodge Durango St,$ 600 USD,1,1D4HB38N15F573706,201 563 mi,14.05.2024 17:00 UTC,4.7l 8,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 3 026 USD,$ 2 850 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,,
2004 Hyundai Elantra Gls,$ 175 USD,1,KMHDN46D74U732589,,14.05.2024 18:00 UTC,2.0l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HELENA, MONTANA"",$ 0 USD,$ 0 USD,MT - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,
2014 Ford Focus S,$ 225 USD,1,1FADP3E24EL220276,257 008 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 2 505 USD,$ 5 675 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,
2016 Lexus Gx 460 Premium,$ 6 800 USD,1,JTJJM7FX0G5142915,,14.05.2024 17:00 UTC,4.6l 8,Угольный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""Greenwell springs, LOUISIANA"",$ 31 808 USD,$ 28 325 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение рамы,Повреждение передней части,
2011 Gmc Acadia Sle,$ 625 USD,1,1GKKRPED9BJ418660,231 135 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 4 877 USD,$ 5 050 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Неизвестно,Повреждение передней части,,
2013 Honda Pilot Exl,$ 2 100 USD,1,5FNYF3H53DB040003,159 558 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""Greenwell springs, LOUISIANA"",$ 8 791 USD,$ 10 475 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2017 Hyundai Sonata Se,$ 1 000 USD,1,5NPE24AF8HH522027,190 410 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""Greenwell springs, LOUISIANA"",$ 4 594 USD,$ 7 175 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2017 Chevrolet Silverado K1500 Ltz,$ 8 300 USD,1,3GCUKSEC1HG236447,100 426 mi(подтвержден),14.05.2024 17:00 UTC,5.3l 8,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 17 401 USD,$ 29 475 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2004 Honda Odyssey Exl,$ 500 USD,3,5FNRL18094B108312,215 172 mi,14.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 4 913 USD,$ 0 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,спортивная версия
2020 Subaru Forester Premium,$ 7 100 USD,1,JF2SKAJC1LH481532,16 638 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 18 383 USD,$ 24 725 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2017 Ford Mustang,$ 6 100 USD,1,1FA6P8AM0H5329744,101 229 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Красный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 12 892 USD,$ 14 525 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Верх/крыша,
2023 Audi Q5 Premium Plus 45,$ 21 100 USD,1,WA1EAAFY3P2063799,11 201 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 31 619 USD,$ 39 850 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Механическое повреждение,
2017 Toyota Rav4 Le,$ 4 350 USD,1,2T3ZFREV4HW358577,44 201 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 13 611 USD,$ 17 525 USD,TX - SALVAGE VEHICLE TITLE,Пожар,Пожар,,
2023 Lexus Rz 450e,$ 17 500 USD,1,JTJAAAAB3PA001930,4 695 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""COLORADO SPRINGS, COLORADO"",$ 47 248 USD,$ 54 000 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение задней части,
2021 Tesla Model 3,$ 4 750 USD,1,5YJ3E1EA2MF097697,63 760 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""WEST PALM BEACH, FLORIDA"",$ 27 637 USD,$ 27 875 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,,
2019 Tesla Model 3,$ 6 100 USD,2,5YJ3E1EA7KF397927,143 049 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 19 827 USD,$ 26 875 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,
2016 Nissan Rogue S,$ 2 850 USD,2,5N1AT2MV0GC865357,101 019 mi,14.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 11 686 USD,$ 11 500 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2018 Tesla Model S,$ 5 200 USD,1,5YJSA1E22JF284840,,14.05.2024 16:00 UTC,,Угольный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""TUCSON, ARIZONA"",$ 45 932 USD,$ 28 750 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,Механическое повреждение,
2008 Ford F150,$ 1 450 USD,1,1FTRF12268KC11035,158 871 mi,14.05.2024 17:00 UTC,4.2l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 0 USD,$ 7 038 USD,AL - CERTIFICATE OF TITLE,Аренда,Нормальный износ,,
2023 Nissan Sentra S,$ 6 600 USD,1,3N1AB8BV0PY310593,10 701 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 18 463 USD,$ 22 450 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2020 Toyota Rav4 Adventure,$ 9 000 USD,2,2T3J1RFV0LC112310,52 866 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 28 055 USD,$ 31 200 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,Повреждение задней части,
