Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2017 Mercedes-benz Glc 300,$ 8 200 USD,1,WDC0G4JB3HF138167,70 808 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,4-дверный спорт,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 16 014 USD,$ 18 075 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,Автоматическая,WILMER, TEXAS
2007 Ford Expedition Eddie Bauer,$ 725 USD,1,1FMFU17527LA10281,221 055 mi(подтвержден),16.05.2024 17:00 UTC,5.4l 8,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 4 931 USD,$ 4 925 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,EARLINGTON, KENTUCKY
2009 Toyota Rav4 Sport,$ 1 250 USD,1,JTMBF32V29D012710,129 834 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,4-дверный спорт,Серый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,$ 11 126 USD,$ 8 525 USD,TX - SALVAGE VEHICLE TITLE,Материальный ущерб,Повреждение задней части,Повреждение стороны,Автоматическая,HOUSTON, TEXAS
2016 Bmw X5 Xdrive35d,$ 8 300 USD,1,5UXKS4C57G0N14695,181 285 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,4-дверный спорт,Белый,Дизель,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 14 925 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,EARLINGTON, KENTUCKY
2022 Nissan Rogue Sport Sv,$ 9 600 USD,1,JN1BJ1BWXNW486367,21 036 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 19 955 USD,$ 24 350 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2006 Ford Ranger Super Cab,$ 1 750 USD,1,1FTYR14U16PA15246,112 511 mi,16.05.2024 17:00 UTC,3.0l 6,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 7 316 USD,$ 6 425 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение ходовой части,Автоматическая,SAN ANTONIO, TEXAS
2023 Volkswagen Jetta Sport,$ 9 600 USD,1,3VWBM7BU6PM023079,35 408 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 24 075 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,EARLINGTON, INDIANA
2006 Mercury Montego Premier,$ 300 USD,1,1MEHM43196G617642,165 795 mi,16.05.2024 17:00 UTC,3.0l 6,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 2 168 USD,$ 3 825 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,ELGIN, ILLINOIS
2013 Honda Pilot Touring,$ 2 500 USD,1,5FNYF3H90DB033433,204 124 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 10 969 USD,$ 11 500 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,Автоматическая,GRAND PRAIRIE, TEXAS
2017 Chevrolet Silverado K1500 Lt,$ 7 900 USD,1,3GCUKREC9HG134645,55 859 mi(подтвержден),16.05.2024 17:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 18 778 USD,$ 27 600 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повсюду,,Автоматическая,MONTGOMERY, ALABAMA
2014 Harley-davidson Xl883 Iron 883,$ 1 100 USD,1,1HD4LE212EC426417,45 801 mi(подтвержден),16.05.2024 17:00 UTC,2,,Черный,Бензин,,Ключи присутствуют,двигатель запускается,$ 14 678 USD,$ 0 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,KANSAS CITY, KANSAS
1971 Starcraft Craft Camp,$ 50 USD,1,71SD660279,,16.05.2024 16:00 UTC,,,Бежевый,,,Ключи присутствуют,улучшенные транспортные средства,$ 3 941 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Град,Град,Повреждение задней части,,ALBUQUERQUE, NEW MEXICO
2021 Ford Edge Sel,$ 2 850 USD,1,2FMPK3J91MBA00936,119 498 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Бордовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 18 164 USD,$ 22 750 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2012 Freightliner Conventional Coronado 122,$ 4 750 USD,1,1FVMGNBG5CDBV8469,,16.05.2024 16:00 UTC,14.9l 6,обычная кабина,Белый,Дизель,задний привод,,улучшенные транспортные средства,$ 133 069 USD,$ 54 475 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,Автоматическая,COLUMBUS, OHIO
2021 Toyota Camry Se,$ 6 500 USD,1,4T1G11AK6MU555143,75 497 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 19 719 USD,$ 23 325 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,EARLINGTON, KENTUCKY
2023 Tyer Td-40-t,$ 4 500 USD,1,7WL3H4028PT000717,1 mi,16.05.2024 16:00 UTC,,,Черный,,,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,CO - BILL OF SALE-PARTS ONLY,Столкновение,Повреждение ходовой части,,,BRIGHTON, COLORADO
2014 Tpew Trailer,$ 150 USD,2,LCAUP0718ET029717,,16.05.2024 16:00 UTC,,,Красный,,,,улучшенные транспортные средства,$ 1 700 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,,PHOENIX, ARIZONA
2010 Acura Tl,$ 1 850 USD,1,19UUA8F5XAA006322,121 075 mi,16.05.2024 17:00 UTC,3.5l 6,,Желто-коричневый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 425 USD,$ 8 250 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,SAN ANTONIO, LOUISIANA
2013 Toyota Camry L,$ 2 850 USD,1,4T4BF1FKXDR281360,159 879 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 196 USD,$ 10 125 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,ELGIN, ILLINOIS
2013 Gmc Acadia Slt-1,$ 1 250 USD,1,1GKKRRKDXDJ164072,185 682 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 796 USD,$ 8 925 USD,AL - CERT OF TITLE-SALVAGE TITLE,Неизвестно,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2023 Jeep Grand Cherokee L Limited,$ 14 500 USD,1,1C4RJJBG2P8836179,16 155 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Черный,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 31 036 USD,$ 43 425 USD,TX - SALVAGE VEHICLE TITLE,Материальный ущерб,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,HOUSTON, TEXAS
2016 Volvo Xc60 T5 Premier,$ 3 500 USD,1,YV440MDK9G2843596,55 728 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 10 621 USD,$ 11 925 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,Автоматическая,WILMER, TEXAS
2008 Hyundai Santa Fe Se,$ 1 150 USD,1,5NMSH13E68H204005,209 798 mi,16.05.2024 17:00 UTC,3.3l 6,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 092 USD,$ 4 725 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,,Автоматическая,GRAND PRAIRIE, TEXAS
2015 Harley-davidson Xl1200 C,$ 1 750 USD,1,1HD1CT314FC403759,23 803 mi(подтвержден),16.05.2024 17:00 UTC,2,родстер,Черный,Бензин,,Ключи присутствуют,заводится и едет,$ 7 721 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,Повреждение рамы,Механическая,TUCSON, ARIZONA
2006 Peterbilt 379,$ 17 000 USD,1,1NP5LU0X26D661699,,16.05.2024 16:00 UTC,6,обычная кабина,Белый,Дизель,задний привод,,улучшенные транспортные средства,$ 70 738 USD,$ 77 225 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение стороны,Повреждение передней части,Механическая,OCALA, FLORIDA
2017 Jeep Wrangler Unlimited Rubicon,$ 7 900 USD,1,1C4BJWFG6HL627387,72 641 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Белый,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 28 570 USD,$ 27 625 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Повреждение рамы,Повреждение задней части,Автоматическая,NEWTON, FLORIDA
2016 Chevrolet Malibu Lt,$ 2 000 USD,2,1G1ZE5ST5GF297442,121 631 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 371 USD,$ 10 700 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,EARLINGTON, KENTUCKY
2007 Cadillac Dts,$ 1 250 USD,2,1G6KD57Y07U182780,151 884 mi,16.05.2024 17:00 UTC,4.6l 8,,Желто-коричневый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 4 661 USD,$ 3 400 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,,Автоматическая,GRAND PRAIRIE, TEXAS
2015 Harley-davidson Fltrx Road Glide,$ 5 600 USD,1,1HD1KHM13FB638285,7 985 mi(подтвержден),16.05.2024 17:00 UTC,2,родстер,Темно-бордовый,Бензин,,Ключи присутствуют,заводится и едет,$ 12 225 USD,$ 0 USD,OK - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Механическая,TULSA, OKLAHOMA
2014 Jayc Eagle,$ 10 700 USD,1,1UJCJ0BV0E1LX0191,,16.05.2024 16:00 UTC,,,Бежевый,,,Ключи присутствуют,,$ 23 358 USD,$ 0 USD,KS - CERT OF TITLE-SALVAGE,Град,Град,,,WICHITA, KANSAS
2022 Honda Civic Sport,$ 8 900 USD,1,2HGFE2F57NH588106,42 757 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 15 770 USD,$ 24 775 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,GRAND PRAIRIE, TEXAS
2015 Nissan Altima 2.5,$ 2 000 USD,1,1N4AL3AP0FC211091,159 924 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 1 298 USD,$ 8 775 USD,KY - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая,EARLINGTON, KENTUCKY
2012 Volkswagen Jetta Se,$ 1 900 USD,1,3VWDP7AJ4CM394033,126 116 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 5,4-дверный седан,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 025 USD,$ 6 125 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,Автоматическая,MONTGOMERY, ALABAMA
2015 Harley-davidson Flhx Street Glide,$ 5 500 USD,1,1HD1KBM39FB639486,15 774 mi(подтвержден),16.05.2024 17:00 UTC,2,,Серый,Бензин,,Ключи присутствуют,,$ 1 651 USD,$ 0 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Механическая,ARCADIA, FLORIDA
2009 Honda Fit Sport,$ 725 USD,1,JHMGE88499S053818,119 508 mi,16.05.2024 14:00 UTC,1.5l 4,,Синий,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 16 633 USD,$ 6 550 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая,DUNN, NORTH CAROLINA
2000 Diam Trailer,$ 1 450 USD,1,4FGL01626YH036004,,16.05.2024 16:00 UTC,,,Серебряный,,,,улучшенные транспортные средства,$ 15 438 USD,$ 0 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,Повреждение ходовой части,,COLUMBIA, MISSOURI
2022 Acura Tlx Technology,$ 12 100 USD,1,19UUB6F44NA000997,4 869 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Белый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,$ 25 399 USD,$ 40 025 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,,Автоматическая,WEST PALM BEACH, FLORIDA
2018 Nissan Pathfinder S,$ 4 750 USD,1,5N1DR2MN4JC642239,123 435 mi(подтвержден),16.05.2024 16:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 14 150 USD,AZ - CERTIFICATE OF TITLE,Аренда,Незначительная вмятина/царапины,,Автоматическая,PHOENIX, ARIZONA
2012 Bmw X3 Xdrive35i,$ 1 300 USD,1,5UXWX7C50CL975413,150 590 mi(подтвержден),16.05.2024 14:00 UTC,3.0l 6,4-дверный спорт,Белый,Бензин,Полный привод,,улучшенные транспортные средства,$ 21 915 USD,$ 8 700 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,WEST PALM BEACH, FLORIDA
2020 Nissan Sentra Sv,$ 4 000 USD,1,3N1AB8CV7LY226845,32 628 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Красный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 17 570 USD,$ 17 275 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая,DUNN, NORTH CAROLINA
2016 Toyota Corolla L,$ 1 750 USD,1,2T1BURHE9GC710354,69 030 mi(подтвержден),16.05.2024 14:00 UTC,1.8l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 12 180 USD,$ 12 100 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,WEST PALM BEACH, FLORIDA
2005 Jayc Jay Flight,$ 10 USD,4,1UJBJ02N351EF0868,,16.05.2024 16:00 UTC,,,Белый,,,,,$ 10 000 USD,$ 0 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Опрокидывание/Перевертышь,,,APPLETON, WISCONSIN
2016 Hyundai Sonata Se,$ 2 950 USD,1,5NPE24AF6GH338607,61 962 mi,16.05.2024 14:00 UTC,2.4l 4,,Синий,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 7 865 USD,$ 9 325 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,WEST PALM BEACH, FLORIDA
2019 Keystone Springdale,$ 5 600 USD,1,4YDT1861XKW106400,,16.05.2024 16:00 UTC,,,Двухцветный,,,,улучшенные транспортные средства,$ 14 618 USD,$ 0 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,,COLUMBUS, OHIO
2016 Chevrolet Silverado K2500 Heavy Duty,$ 6 600 USD,1,1GC1KUEG4GF209356,75 816 mi(подтвержден),16.05.2024 14:00 UTC,6.0l 8,,Серебряный,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,$ 19 269 USD,$ 26 475 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,DUNN, NORTH CAROLINA
2013 Honda Pilot Exl,$ 775 USD,1,5FNYF3H51DB042722,153 256 mi,16.05.2024 14:00 UTC,3.5l 6,,Бордовый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 10 788 USD,$ 10 850 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,DUNN, NORTH CAROLINA
2005 Jayc Trailer,$ 1 800 USD,1,1UJBJ02P551EN0232,,16.05.2024 16:00 UTC,,,Белый,,,,улучшенные транспортные средства,$ 0 USD,$ 0 USD,FL - CERTIFICATE OF DESTRUCTION,Вода/Наводнение,Вода/Наводнение,,,MIDWAY, FLORIDA
2023 Mitsubishi Outlander Sport S/se,$ 4 100 USD,1,JA4ARUAUXPU012639,24 303 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,$ 16 584 USD,$ 24 825 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,DUNN, NORTH CAROLINA
2021 Hhtc Trailer,$ 3 300 USD,1,5JWA32424MN555197,1 mi,16.05.2024 16:00 UTC,,,Серебряный,,,,улучшенные транспортные средства,$ 0 USD,$ 0 USD,MN - CERT OF TITLE-SALVAGE,Неизвестно,Опрокидывание/Перевертышь,,,AVON, MINNESOTA
2005 Ford F150 Supercrew,$ 275 USD,1,1FTPW14544KC67886,188 350 mi(подтвержден),16.05.2024 14:00 UTC,5.4l 8,подбирать,Бордовый,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,$ 6 481 USD,$ 4 675 USD,MD - CERT OF SALVAGE > 75% DAMAGE,Столкновение,Повреждение передней части,,Автоматическая,BALTIMORE, MARYLAND
2001 Gmc Yukon,$ 275 USD,1,1GKEC13T41J309088,229 681 mi(подтвержден),16.05.2024 14:00 UTC,5.3l 8,,Желто-коричневый,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,MD - CERT OF SALVAGE > 75% DAMAGE,Столкновение,Повреждение стороны,,Автоматическая,BALTIMORE, MARYLAND
2019 Volkswagen Golf S,$ 1 600 USD,1,3VWG57AU0KM030784,104 644 mi(подтвержден),16.05.2024 17:00 UTC,1.4l 4,,Синий,Бензин,передний привод,,улучшенные транспортные средства,$ 11 720 USD,$ 16 375 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,HOUSTON, TEXAS
2019 Bmw M5,$ 45 500 USD,1,WBSJF0C52KB285536,24 839 mi(подтвержден),16.05.2024 17:00 UTC,4.4l 8,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 64 494 USD,$ 68 600 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая,GRAND PRAIRIE, TEXAS
2003 Toyota 4runner Sr5,$ 1 600 USD,1,JTEZU14RX38005850,237 598 mi,16.05.2024 17:00 UTC,4.0l 6,4-дверный спорт,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 6 681 USD,$ 0 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,NEWTON, FLORIDA
2018 Freightliner Cascadia 125,$ 5 200 USD,1,1FUJGLDR4JLJK3335,,16.05.2024 16:00 UTC,14.8l 6,,Синий,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 74 940 USD,$ 34 963 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,COLUMBUS, OHIO
2006 Other Trailer,$ 2 500 USD,1,1EB1C182061507327,,16.05.2024 16:00 UTC,,,Белый,,,Ключи присутствуют,,$ 9 425 USD,$ 0 USD,AZ - CERT OF TITLE - SALVAGE,Ураган,Верх/крыша,,,PHOENIX, ARIZONA
2018 Gplb Imagine,$ 9 800 USD,1,573TE3326J6605449,,16.05.2024 16:00 UTC,,,Серебряный,,,,улучшенные транспортные средства,$ 26 840 USD,$ 0 USD,OK - CERT OF TITLE-SALVAGE,Град,Град,Верх/крыша,,TULSA, OKLAHOMA
2017 Mercedes-benz E 300 4matic,$ 11 400 USD,1,WDDZF4KB2HA205052,89 440 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Черный,Бензин,Полный привод,,заводится и едет,$ 14 846 USD,$ 21 100 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,ELGIN, ILLINOIS
2017 Chevrolet Malibu Premier,$ 2 300 USD,1,1G1ZH5SX4HF193195,107 895 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 105 USD,$ 14 825 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,WILMER, TEXAS
2023 Snfe Dryvan,$ 7 000 USD,1,1DW1A532XPBB10223,,16.05.2024 16:00 UTC,,,Белый,,,Ключи присутствуют,улучшенные транспортные средства,$ 41 378 USD,$ 0 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повсюду,,,BRIGHTON, COLORADO
2016 Volvo Vn Vnl,$ 1 600 USD,1,4V4NC9TH5GN938564,1 135 066 mi(подтвержден),16.05.2024 16:00 UTC,15.0l 6,трактор,Темно-бордовый,Дизель,задний привод,Ключи присутствуют,,$ 72 584 USD,$ 0 USD,PA - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,GRANTVILLE, PENNSYLVANIA
2015 Jeep Wrangler Sport,$ 4 150 USD,2,1C4GJWAG8FL621648,88 694 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Черный,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 13 503 USD,$ 15 625 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,EARLINGTON, KENTUCKY
2022 Hyundai Santa Fe Sel,$ 13 800 USD,1,5NMS6DAJ7NH420805,40 181 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 17 262 USD,$ 26 050 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,SAN ANTONIO, TEXAS
2006 Toyota Highlander Limited,$ 475 USD,1,JTEDP21A360119455,205 300 mi,16.05.2024 17:00 UTC,3.3l 6,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 729 USD,$ 7 075 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2015 Nissan Rogue Select S,$ 1 950 USD,1,JN8AS5MT2FW656002,80 181 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 827 USD,$ 7 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая,WILMER, TEXAS
2009 Gmc Sierra C1500,$ 2 800 USD,1,1GTEC19C99Z243685,160 069 mi,16.05.2024 17:00 UTC,4.8l 8,,Серый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 8 336 USD,$ 9 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,,Автоматическая,WILMER, TEXAS
2020 Ford Fusion Se,$ 1 800 USD,1,3FA6P0HD1LR136001,119 503 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 13 103 USD,$ 15 500 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2020 Freightliner M2 106 Medium Duty,$ 20 400 USD,1,3ALACYFE0LDLX5335,,16.05.2024 16:00 UTC,9.0l 6,,Красный,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 294 200 USD,$ 0 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,Автоматическая,TIFTON, GEORGIA
2022 Dark Trailer,$ 1 900 USD,1,7LZBE0813NW107627,999 mi,16.05.2024 16:00 UTC,,,Серебряный,,,,улучшенные транспортные средства,$ 6 501 USD,$ 0 USD,CO - PUBLIC - SALVAGE TITLE,Кража,Повреждение задней части,,,BRIGHTON, COLORADO
2014 Volkswagen Jetta Se,$ 775 USD,1,3VWD07AJ3EM323350,124 534 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 10 525 USD,$ 7 825 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,MONTGOMERY, ALABAMA
2017 Walk Trailer,$ 3 700 USD,1,5WSAA4322HN048694,1 mi,16.05.2024 16:00 UTC,,,Серебряный,,,Ключи присутствуют,заводится и едет,$ 73 670 USD,$ 0 USD,ME - CERT OF TITLE-SALVAGE COLLISIO,Столкновение,Опрокидывание/Перевертышь,,Автоматическая,WICHITA, MAINE
2005 Ford F150 Supercrew,$ 275 USD,1,1FTPW14544KC67886,188 350 mi(подтвержден),16.05.2024 14:00 UTC,5.4l 8,подбирать,Бордовый,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,$ 6 481 USD,$ 4 675 USD,MD - CERT OF SALVAGE > 75% DAMAGE,Столкновение,Повреждение передней части,,Автоматическая,BALTIMORE, MARYLAND
2001 Gmc Yukon,$ 275 USD,1,1GKEC13T41J309088,229 681 mi(подтвержден),16.05.2024 14:00 UTC,5.3l 8,,Желто-коричневый,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,MD - CERT OF SALVAGE > 75% DAMAGE,Столкновение,Повреждение стороны,,Автоматическая,BALTIMORE, MARYLAND
2006 Ford Fusion Se,$ 150 USD,1,3FAHP07176R203785,,16.05.2024 14:00 UTC,3.0l 6,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 8 237 USD,$ 50 USD,WV - SALVAGE CERTIFICATE,Материальный ущерб,Повсюду,,Автоматическая,HURRICANE, WEST VIRGINIA
2001 Toyota Celica Gt-s,$ 225 USD,1,JTDDY32T010047579,,16.05.2024 14:00 UTC,1.8l 4,,Серебряный,Бензин,передний привод,,улучшенные транспортные средства,$ 3 891 USD,$ 0 USD,WV - SALVAGE CERTIFICATE,Столкновение,Вода/Наводнение,,Автоматическая,HURRICANE, WEST VIRGINIA
